Gen 001 | Pen:    0 | Fit:   2261 | dios dijo entre contra cabeza furor mes llamó nuestras hijo serán a los obras y nosotros dar rey una hubo me egipto bueno aunque di
Gen 002 | Pen:    0 | Fit:   2261 | dios dijo entre contra cabeza furor mes llamó nuestras hijo serán a los obras y nosotros dar rey una hubo me egipto bueno aunque di
Gen 003 | Pen:   30 | Fit:   4249 | dios dijo altar mundo temor seis pero pero tal manera capítulo vez días hicieron pie nuestras dio somos vio da de la hacia tanto aceite
Gen 004 | Pen:    0 | Fit:   4261 | dios dijo lado si te tarde josué serás hizo entonces habló habían sacrificio dentro pie nuestras dio somos vio da de la hacia tanto aceite
Gen 005 | Pen:    0 | Fit:   4573 | dios dijo yo aguas volvió cinco por cuanto qué aguas no expiación unos dios mi según te hoy vio da de la hacia tanto aceite
Gen 006 | Pen:    0 | Fit:   5956 | dios dijo el rey nunca cinco dioses años tal aguas no nuestros unos dios mi según te hoy vio da de la hacia tanto varones
Gen 007 | Pen:    0 | Fit:   6578 | dios dijo hombre y es decir cuarenta y llamado también manasés a los mejor llamó subió cuerpo aun dicho da de la hacia tanto hombre
Gen 008 | Pen:    0 | Fit:   6810 | dios dijo hombre y para decir cuarenta y llamado también manasés a los mejor llamó subió cuerpo aun dicho mañana de la decía solamente ciudad
Gen 009 | Pen:    0 | Fit:   8239 | dios dijo el rey tarde cinco arca consejo nuestras término pueblos a los obras y habló te tú dicho da de la visto ley plata
Gen 010 | Pen:    0 | Fit:   8239 | dios dijo el rey tarde cinco arca consejo nuestras término pueblos a los obras y habló te tú dicho da de la visto ley plata
Gen 011 | Pen:    0 | Fit:   8239 | dios dijo el rey tarde cinco arca consejo nuestras término pueblos a los obras y habló te tú dicho da de la visto ley plata
Gen 012 | Pen:    0 | Fit:   8426 | dios dijo el rey tarde cinco arca él nuestras término pueblos a los delante su fuere dio respondió tras da de la palabra manos ejércitos
Gen 013 | Pen:    0 | Fit:  10417 | dios dijo el rey oro pecados murió éstos profetas hijo conmigo a los obras y nosotros ni hoy vuestros pondré de la tierra tanto conmigo
Gen 014 | Pen:    0 | Fit:  10417 | dios dijo el rey oro pecados murió éstos profetas hijo conmigo a los obras y nosotros ni hoy vuestros pondré de la tierra tanto conmigo
Gen 015 | Pen:    0 | Fit:  10417 | dios dijo el rey oro pecados murió éstos profetas hijo conmigo a los obras y nosotros ni hoy vuestros pondré de la tierra tanto conmigo
Gen 016 | Pen:    0 | Fit:  10417 | dios dijo el rey oro pecados murió éstos profetas hijo conmigo a los obras y nosotros ni hoy vuestros pondré de la tierra tanto conmigo
